unique_id,id,name,child_of_artifact,basis_name_id,component_basis,system,subfunction_type,function_id,subfunction_basis,sys_id,sys_name,sys_type,sys_type_name,mat_id,material_name,input_flow,input_flow_basis,child_of_flow_input,input_artifact,output_flow,output_flow_basis,child_of_flow_output,output_artifact,subfunction_tier,func_parent_heir_id,parent_teir,parent_subfunction,func_grandparent_heir_id,grandparent_teir,grand_parent_subfunction
1,789,booster-a,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
2,790,cap,,95,cap,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
3,791,booster-b,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
4,792,booster-c,,1,unclassified,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
5,793,master cylinder-a,,111,hydraulic pump,21,8,1591,import,21,brake system,0,all,2,aluminum,4,liquid,1,824,4,liquid,1,825,2,7,1,channel,,,
6,793,master cylinder-a,,111,hydraulic pump,21,8,1592,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
7,795,master cylinder-b,,111,hydraulic pump,21,8,1595,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
8,796,external,,178,external,21,,,,21,brake system,0,all,,,,,,,,,,,,,,,,,
9,797,master cylinder-c,,111,hydraulic pump,21,8,1596,import,21,brake system,0,all,2,aluminum,4,liquid,1,824,4,liquid,1,825,2,7,1,channel,,,
10,797,master cylinder-c,,111,hydraulic pump,21,8,1597,import,21,brake system,0,all,2,aluminum,4,liquid,1,813,4,liquid,1,825,2,7,1,channel,,,
11,799,drum-a,,129,container,21,8,1599,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,823,2,7,1,channel,,,
12,799,drum-a,,129,container,21,8,1600,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,823,2,7,1,channel,,,
13,800,drum-b,,129,container,21,8,1601,import,21,brake system,0,all,10,iron,5,solid,1,805,5,solid,1,823,2,7,1,channel,,,
14,800,drum-b,,129,container,21,8,1602,import,21,brake system,0,all,10,iron,40,mechanical,29,805,40,mechanical,29,823,2,7,1,channel,,,
